ID,"class","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
346,republican,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y
274,republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,unknown,y
326,democrat,n,y,n,n,y,y,n,n,unknown,n,n,y,y,y,n,y
364,republican,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n
39,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
294,democrat,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y
214,democrat,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y
111,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
398,democrat,y,y,n,n,y,unknown,n,n,n,n,y,n,y,y,n,y
297,republican,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y
355,democrat,n,y,y,n,n,y,y,y,y,y,n,unknown,n,n,y,y
352,republican,n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y
50,republican,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,n
378,republican,n,y,n,y,y,y,unknown,unknown,n,n,unknown,unknown,y,unknown,unknown,unknown
349,democrat,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,unknown
434,republican,n,n,n,y,y,y,unknown,unknown,unknown,unknown,n,y,y,y,n,y
334,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
241,republican,n,n,n,y,n,y,y,unknown,y,n,n,y,y,y,n,y
146,democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,unknown,y
45,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,unknown
92,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
344,republican,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y
123,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
368,democrat,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,unknown
217,democrat,y,y,y,n,y,y,n,n,unknown,y,n,n,n,y,y,unknown
106,democrat,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
270,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
121,republican,n,unknown,unknown,y,y,y,n,n,n,y,n,y,y,y,unknown,y
33,democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
261,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
244,democrat,n,y,y,n,n,n,y,y,unknown,y,n,n,y,n,y,y
289,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y
376,democrat,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n
332,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
345,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
18,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
246,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
222,democrat,n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,unknown
324,democrat,y,y,y,n,y,y,n,y,unknown,y,n,n,y,y,n,unknown
66,republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
112,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
3,democrat,unknown,y,y,unknown,y,y,n,n,n,n,y,n,y,y,n,n
296,republican,n,y,n,y,y,y,unknown,unknown,n,y,n,y,unknown,unknown,unknown,unknown
277,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n
372,democrat,y,y,y,n,unknown,n,y,y,y,y,n,n,n,n,y,unknown
367,democrat,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,unknown
284,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
278,republican,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y
423,democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y
396,democrat,y,y,y,unknown,n,n,n,y,n,n,y,unknown,n,n,y,y
73,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
149,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
179,democrat,unknown,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,unknown
115,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
82,democrat,y,n,y,n,n,n,y,y,unknown,y,y,y,n,y,n,y
260,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
4,democrat,n,y,y,n,unknown,y,n,n,n,n,y,n,y,n,n,y
105,democrat,unknown,unknown,unknown,unknown,n,y,y,y,y,y,unknown,n,y,y,n,unknown
359,democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,y,n,unknown
417,republican,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y
232,republican,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y
383,democrat,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,unknown
49,democrat,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
37,republican,y,unknown,n,y,y,y,n,n,n,y,n,y,unknown,y,n,y
290,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,unknown
353,democrat,n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,unknown
64,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
267,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
239,democrat,y,y,y,n,n,n,y,y,unknown,y,n,n,n,n,y,unknown
426,democrat,n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,unknown
134,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
301,republican,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y
425,democrat,n,y,y,n,n,unknown,y,y,y,y,y,n,unknown,y,y,y
225,republican,n,y,n,y,y,y,n,n,n,y,n,unknown,y,y,n,n
314,republican,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y
208,republican,y,unknown,n,y,y,y,y,n,n,y,n,y,y,y,n,y
28,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
329,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
70,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
215,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
75,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y
312,democrat,n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
243,republican,n,n,n,n,y,y,y,n,n,n,n,unknown,n,y,y,y
259,democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
104,democrat,y,n,n,n,y,y,unknown,n,unknown,n,n,n,n,y,unknown,n
360,republican,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
197,democrat,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,unknown
74,republican,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y
61,democrat,y,y,y,n,n,unknown,y,y,y,y,n,n,n,n,y,unknown
382,democrat,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,unknown
114,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
168,republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y
422,democrat,n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y
135,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
90,republican,n,n,n,y,y,y,n,n,n,y,n,unknown,y,y,n,unknown
374,democrat,n,y,y,unknown,y,y,n,y,n,y,unknown,n,y,y,unknown,y
393,republican,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y
251,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
343,democrat,n,y,y,n,y,unknown,y,n,n,y,y,n,y,n,y,y
256,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
273,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,unknown
88,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
76,democrat,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n
125,democrat,n,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
191,republican,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
291,democrat,y,n,y,n,unknown,y,unknown,y,y,y,n,n,y,y,n,y
262,democrat,y,n,y,n,n,unknown,y,y,y,n,unknown,unknown,n,unknown,unknown,unknown
406,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
68,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
169,democrat,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,unknown
159,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
370,republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
282,republican,y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,unknown
321,democrat,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y
403,republican,unknown,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y
431,republican,n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y
63,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,unknown
361,democrat,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
38,republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
287,democrat,n,n,y,n,n,y,unknown,y,unknown,y,y,y,n,y,y,unknown
223,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
424,democrat,n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y
400,republican,n,y,n,y,unknown,y,n,n,n,y,n,y,y,y,n,n
172,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
93,democrat,y,y,y,n,n,n,y,y,n,y,y,n,n,unknown,y,y
252,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
163,democrat,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y
166,democrat,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,unknown
264,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
280,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
143,republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
205,republican,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y
331,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
316,republican,n,y,y,y,y,y,y,unknown,n,n,n,n,unknown,unknown,y,unknown
2,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
153,democrat,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y
154,democrat,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y
428,republican,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y
358,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
48,democrat,y,n,y,n,n,n,y,y,unknown,n,n,n,n,n,n,unknown
317,democrat,n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n
357,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
21,democrat,y,y,y,n,n,unknown,y,y,n,n,y,n,n,n,y,y
298,democrat,y,y,y,n,n,y,y,y,y,y,n,n,unknown,n,y,unknown
388,democrat,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,unknown
17,democrat,y,n,y,n,n,y,n,y,unknown,y,y,y,unknown,n,n,y
1,republican,n,y,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
419,democrat,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y
371,democrat,y,y,y,n,unknown,y,y,y,n,y,unknown,unknown,n,n,y,y
351,democrat,n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y
354,republican,n,n,y,y,y,y,y,n,n,y,y,y,y,y,n,y
409,democrat,y,n,y,n,n,y,y,y,y,n,n,y,unknown,y,y,y
366,democrat,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n
226,republican,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,y
164,republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
65,democrat,y,y,y,n,n,n,y,y,y,n,y,unknown,n,n,n,y
203,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
136,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
249,republican,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
130,democrat,unknown,unknown,y,n,n,n,y,y,unknown,n,unknown,unknown,unknown,unknown,unknown,unknown
350,republican,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y
219,democrat,y,unknown,y,n,n,n,y,y,y,n,unknown,n,n,n,y,unknown
195,democrat,n,n,y,n,n,y,y,unknown,y,y,y,n,n,n,y,y
113,democrat,n,unknown,y,n,n,y,y,y,n,y,n,n,n,n,y,unknown
389,democrat,n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,unknown
311,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n
148,democrat,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
150,democrat,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y
233,democrat,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,unknown
302,democrat,n,n,unknown,n,n,y,y,y,y,n,n,n,n,n,y,y
248,republican,n,y,n,y,y,y,unknown,n,n,n,n,unknown,y,y,n,n
269,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
20,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
43,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
202,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
315,republican,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y
120,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
320,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
325,republican,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n
91,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
15,republican,n,y,n,y,y,y,n,n,n,n,n,y,unknown,unknown,n,unknown
412,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y
313,democrat,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
414,republican,y,y,y,y,y,y,y,y,n,y,unknown,unknown,unknown,y,n,y
